   3.0902270e-01   7.7103246e-04   2.3826458e-04
   3.1076135e-01   8.5087964e-04   2.6441836e-04
   3.1250145e-01   9.4781458e-04   2.9619107e-04
   3.1424304e-01   1.0503124e-03   3.3005078e-04
   3.1598613e-01   1.1698227e-03   3.6964489e-04
   3.1773075e-01   1.3005674e-03   4.1322710e-04
   3.1947692e-01   1.4539617e-03   4.6450370e-04
   3.2122465e-01   1.6242187e-03   5.2173522e-04
   3.2297398e-01   1.8227155e-03   5.8868540e-04
   3.2472492e-01   2.0436596e-03   6.6362246e-04
   3.2647750e-01   2.2983865e-03   7.5036617e-04
   3.2823173e-01   2.5924888e-03   8.5093114e-04
   3.2998764e-01   2.9201521e-03   9.6360747e-04
   3.3174525e-01   3.2983338e-03   1.0941991e-03
   3.3350457e-01   3.7268688e-03   1.2429195e-03
   3.3526563e-01   4.2112677e-03   1.4118840e-03
   3.3702845e-01   4.7683667e-03   1.6070648e-03
   3.3879304e-01   5.4035893e-03   1.8306867e-03
   3.4055943e-01   6.1223334e-03   2.0850052e-03
   3.4232764e-01   6.9469350e-03   2.3781131e-03
   3.4409769e-01   7.8770380e-03   2.7104539e-03
   3.4586958e-01   8.9404830e-03   3.0922224e-03
   3.4764336e-01   1.0142458e-02   3.5259371e-03
   3.4941902e-01   1.1510633e-02   4.0220103e-03
   3.5119659e-01   1.3055665e-02   4.5850784e-03
   3.5297610e-01   1.4805028e-02   5.2257911e-03
   3.5475754e-01   1.6786049e-02   5.9549439e-03
   3.5654096e-01   1.9014721e-02   6.7794893e-03
   3.5832636e-01   2.1529348e-02   7.7144906e-03
   3.6011376e-01   2.4356849e-02   8.7711890e-03
   3.6190318e-01   2.7524003e-02   9.9609708e-03
   3.6369463e-01   3.1074233e-02   1.1301472e-02
   3.6548814e-01   3.5045130e-02   1.2808513e-02
   3.6728372e-01   3.9468471e-02   1.4496052e-02
   3.6908139e-01   4.4387110e-02   1.6382373e-02
   3.7088116e-01   4.9838015e-02   1.8483888e-02
   3.7268306e-01   5.5869086e-02   2.0821359e-02
   3.7448709e-01   6.2516931e-02   2.3411670e-02
   3.7629328e-01   6.9828879e-02   2.6276011e-02
   3.7810164e-01   7.7835550e-02   2.9429610e-02
   3.7991219e-01   8.6578399e-02   3.2892035e-02
   3.8172495e-01   9.6093076e-02   3.6680955e-02
   3.8353992e-01   1.0640412e-01   4.0810041e-02
   3.8535714e-01   1.1754123e-01   4.5295147e-02
   3.8717660e-01   1.2951213e-01   5.0143845e-02
   3.8899834e-01   1.4856174e-01   5.7790018e-02
   3.9082236e-01   1.7060303e-01   6.6675190e-02
   3.9264868e-01   1.9475988e-01   7.6471885e-02
   3.9447732e-01   2.2106181e-01   8.7203504e-02
   3.9630829e-01   2.4951614e-01   9.8884905e-02
   3.9814161e-01   2.8008695e-01   1.1151381e-01
   3.9997730e-01   3.1271100e-01   1.2507679e-01
   4.0181536e-01   3.4727600e-01   1.3954027e-01
   4.0365581e-01   3.8363765e-01   1.5485696e-01
