    tau[ns]  H=1.000e-08  H=2.154e-08  H=4.642e-08  H=1.000e-07  H=2.154e-07  H=4.642e-07  H=1.000e-06
  0.09143165    0.00000000    0.00000000    0.00000000    0.00000012    0.00000890    0.00006338    0.00013889
  0.09196382    0.00000000    0.00000000    0.00000000    0.00000020    0.00001178    0.00007509    0.00015620
  0.09249909    0.00000000    0.00000000    0.00000000    0.00000033    0.00001545    0.00008848    0.00017504
  0.09303748    0.00000000    0.00000000    0.00000000    0.00000052    0.00002009    0.00010371    0.00019545
  0.09357899    0.00000000    0.00000000    0.00000000    0.00000082    0.00002590    0.00012092    0.00021748
  0.09412366    0.00000000    0.00000000    0.00000000    0.00000127    0.00003310    0.00014026    0.00024115
  0.09467150    0.00000000    0.00000000    0.00000000    0.00000193    0.00004194    0.00016185    0.00026648
  0.09522253    0.00000000    0.00000000    0.00000001    0.00000290    0.00005271    0.00018581    0.00029347
  0.09577676    0.00000000    0.00000000    0.00000002    0.00000428    0.00006570    0.00021226    0.00032212
  0.09633422    0.00000000    0.00000000    0.00000003    0.00000625    0.00008122    0.00024127    0.00035238
  0.09689493    0.00000000    0.00000000    0.00000006    0.00000899    0.00009960    0.00027290    0.00038423
  0.09745890    0.00000000    0.00000000    0.00000012    0.00001275    0.00012117    0.00030719    0.00041759
  0.09802615    0.00000000    0.00000000    0.00000022    0.00001786    0.00014626    0.00034414    0.00045239
  0.09859670    0.00000000    0.00000000    0.00000040    0.00002467    0.00017519    0.00038371    0.00048854
  0.09917058    0.00000000    0.00000000    0.00000070    0.00003365    0.00020824    0.00042586    0.00052591
  0.09974779    0.00000000    0.00000000    0.00000120    0.00004530    0.00024567    0.00047046    0.00056439
  0.10032837    0.00000000    0.00000000    0.00000202    0.00006023    0.00028769    0.00051739    0.00060383
  0.10091232    0.00000000    0.00000001    0.00000334    0.00007907    0.00033445    0.00056646    0.00064406
  0.10149967    0.00000000    0.00000001    0.00000539    0.00010255    0.00038602    0.00061745    0.00068491
  0.10209044    0.00000000    0.00000003    0.00000852    0.00013140    0.00044240    0.00067012    0.00072619
  0.10268465    0.00000000    0.00000008    0.00001321    0.00016639    0.00050350    0.00072418    0.00076771
  0.10328232    0.00000000    0.00000017    0.00002006    0.00020825    0.00056913    0.00077931    0.00080926
  0.10388347    0.00000000    0.00000035    0.00002986    0.00025767    0.00063901    0.00083517    0.00085062
  0.10448811    0.00000000    0.00000071    0.00004359    0.00031525    0.00071275    0.00089139    0.00089159
  0.10509627    0.00000000    0.00000140    0.00006244    0.00038148    0.00078986    0.00094760    0.00093194
  0.10570798    0.00000000    0.00000266    0.00008777    0.00045665    0.00086977    0.00100339    0.00097145
  0.10632324    0.00000001    0.00000489    0.00012113    0.00054087    0.00095181    0.00105837    0.00100992
  0.10694209    0.00000002    0.00000873    0.00016420    0.00063401    0.00103526    0.00111214    0.00104714
  0.10756454    0.00000006    0.00001509    0.00021870    0.00073568    0.00111931    0.00116431    0.00108292
  0.10819061    0.00000017    0.00002530    0.00028632    0.00084521    0.00120315    0.00121450    0.00111706
  0.10882032    0.00000042    0.00004117    0.00036860    0.00096169    0.00128590    0.00126236    0.00114939
  0.10945370    0.00000103    0.00006507    0.00046680    0.00108390    0.00136671    0.00130756    0.00117977
  0.11009077    0.00000238    0.00009996    0.00058176    0.00121042    0.00144472    0.00134979    0.00120805
  0.11073154    0.00000523    0.00014936    0.00071380    0.00133959    0.00151914    0.00138879    0.00123412
  0.11137605    0.00001095    0.00021826    0.00086673    0.00147668    0.00159684    0.00143118    0.00126392
  0.11202430    0.00002223    0.00031611    0.00105514    0.00164230    0.00169942    0.00149605    0.00131422
  0.11267633    0.00004306    0.00044641    0.00126659    0.00181208    0.00180048    0.00155968    0.00136406
  0.11333215    0.00007970    0.00061510    0.00149978    0.00198407    0.00189920    0.00162176    0.00141327
  0.11399179    0.00014109    0.00082751    0.00175244    0.00215614    0.00199481    0.00168201    0.00146170
  0.11465527    0.00023920    0.00108770    0.00202137    0.00232610    0.00208653    0.00174012    0.00150919
  0.11532262    0.00038889    0.00139782    0.00230248    0.00249174    0.00217365    0.00179584    0.00155557
  0.11599384    0.00060706    0.00175746    0.00259094    0.00265087    0.00225552    0.00184892    0.00160070
  0.11666898    0.00091100    0.00216325    0.00288132    0.00280141    0.00233153    0.00189913    0.00164443
  0.11734804    0.00131593    0.00260857    0.00316779    0.00294141    0.00240118    0.00194625    0.00168662
  0.11803105    0.00183197    0.00308364    0.00344441    0.00306914    0.00246401    0.00199012    0.00172713
  0.11871804    0.00246101    0.00357585    0.00370533    0.00318309    0.00251969    0.00203057    0.00176585
  0.11940903    0.00319416    0.00407039    0.00394503    0.00328201    0.00256792    0.00206747    0.00180266
  0.12010404    0.00401030    0.00455112    0.00415857    0.00336496    0.00260854    0.00210072    0.00183745
  0.12080310    0.00487649    0.00500163    0.00434177    0.00343127    0.00264144    0.00213025    0.00187014
  0.12150622    0.00575006    0.00540626    0.00449133    0.00348061    0.00266661    0.00215600    0.00190062
  0.12221344    0.00658255    0.00575115    0.00460494    0.00351292    0.00268412    0.00217794    0.00192884
  0.12292477    0.00732471    0.00602509    0.00468133    0.00352840    0.00269409    0.00219609    0.00195472
  0.12364025    0.00793185    0.00622013    0.00472025    0.00352755    0.00269675    0.00221045    0.00197822
  0.12435988    0.00836864    0.00633191    0.00472240    0.00351106    0.00269235    0.00222107    0.00199930
  0.12508371    0.00861261    0.00635977    0.00468936    0.00347984    0.00268121    0.00222803    0.00201792
  0.12581175    0.00865589    0.00630649    0.00462347    0.00343494    0.00266370    0.00223141    0.00203406
  0.12654403    0.00850508    0.00617787    0.00452767    0.00337754    0.00264021    0.00223131    0.00204773
  0.12728057    0.00817939    0.00598215    0.00440534    0.00330893    0.00261118    0.00222784    0.00205892
  0.12802139    0.00770762    0.00572933    0.00426018    0.00323044    0.00257705    0.00222116    0.00206765
  0.12876653    0.00712444    0.00543041    0.00409604    0.00314342    0.00253830    0.00221139    0.00207394
  0.12951601    0.00646665    0.00509681    0.00391677    0.00304924    0.00249540    0.00219869    0.00207782
  0.13026984    0.00576988    0.00473969    0.00372617    0.00294921    0.00244882    0.00218323    0.00207933
  0.13102807    0.00506603    0.00436952    0.00352779    0.00284461    0.00239902    0.00216517    0.00207852
  0.13179071    0.00438156    0.00399568    0.00332496    0.00273667    0.00234647    0.00214469    0.00207544
  0.13255778    0.00373670    0.00362628    0.00312066    0.00262649    0.00229161    0.00212197    0.00207017
  0.13332933    0.00314542    0.00326797    0.00291753    0.00251513    0.00223486    0.00209718    0.00206277
  0.13410536    0.00261591    0.00292599    0.00271783    0.00240353    0.00217664    0.00207051    0.00205331
  0.13488591    0.00215148    0.00260418    0.00252345    0.00229252    0.00211733    0.00204212    0.00204187
  0.13567100    0.00175158    0.00230512    0.00233592    0.00218285    0.00205728    0.00201220    0.00202854
  0.13646066    0.00141287    0.00203031    0.00215643    0.00207515    0.00199682    0.00198091    0.00201341
  0.13725492    0.00113016    0.00178027    0.00198585    0.00196997    0.00193626    0.00194843    0.00199657
  0.13805380    0.00089729    0.00155480    0.00182477    0.00186775    0.00187587    0.00191491    0.00197810
  0.13885733    0.00070770    0.00135311    0.00167354    0.00176887    0.00181591    0.00188050    0.00195810
  0.13966554    0.00055495    0.00117398    0.00153230    0.00167359    0.00175660    0.00184536    0.00193668
  0.14047845    0.00043301    0.00101591    0.00140102    0.00158215    0.00169813    0.00180962    0.00191392
  0.14129610    0.00033646    0.00087720    0.00127949    0.00149468    0.00164068    0.00177343    0.00188992
  0.14211850    0.00026056    0.00075610    0.00116744    0.00141127    0.00158439    0.00173690    0.00186479
  0.14294569    0.00020125    0.00065085    0.00106448    0.00133197    0.00152940    0.00170016    0.00183861
  0.14377769    0.00015514    0.00055973    0.00097015    0.00125676    0.00147580    0.00166331    0.00181147
  0.14461454    0.00011946    0.00048110    0.00088398    0.00118561    0.00142370    0.00162646    0.00178348
  0.14545625    0.00009193    0.00041345    0.00080545    0.00111846    0.00137314    0.00158971    0.00175472
  0.14630287    0.00007076    0.00035538    0.00073404    0.00105519    0.00132420    0.00155313    0.00172528
  0.14715441    0.00005451    0.00030563    0.00066922    0.00099570    0.00127689    0.00151682    0.00169524
  0.14801091    0.00004205    0.00026309    0.00061048    0.00093985    0.00123126    0.00148083    0.00166470
  0.14887240    0.00003251    0.00022674    0.00055733    0.00088751    0.00118731    0.00144525    0.00163372
  0.14973890    0.00002520    0.00019572    0.00050930    0.00083851    0.00114504    0.00141011    0.00160240
  0.15061044    0.00001959    0.00016926    0.00046594    0.00079271    0.00110445    0.00137549    0.00157079
  0.15148706    0.00001529    0.00014669    0.00042682    0.00074995    0.00106553    0.00134142    0.00153897
  0.15236878    0.00001198    0.00012744    0.00039155    0.00071007    0.00102824    0.00130794    0.00150702
  0.15325563    0.00000943    0.00011101    0.00035978    0.00067291    0.00099257    0.00127509    0.00147499
  0.15414764    0.00000746    0.00009699    0.00033117    0.00063831    0.00095847    0.00124289    0.00144294
  0.15504484    0.00000594    0.00008501    0.00030542    0.00060614    0.00092592    0.00121137    0.00141093
  0.15594727    0.00000476    0.00007476    0.00028224    0.00057624    0.00089488    0.00118056    0.00137901
  0.15685495    0.00000383    0.00006599    0.00026138    0.00054847    0.00086529    0.00115045    0.00134723
  0.15776791    0.00000311    0.00005847    0.00024262    0.00052271    0.00083712    0.00112108    0.00131565
  0.15868618    0.00000254    0.00005202    0.00022574    0.00049882    0.00081033    0.00109243    0.00128429
  0.15960980    0.00000209    0.00004648    0.00021056    0.00047669    0.00078486    0.00106453    0.00125321
  0.16053880    0.00000173    0.00004171    0.00019691    0.00045620    0.00076066    0.00103737    0.00122244
  0.16147320    0.00000145    0.00003760    0.00018463    0.00043725    0.00073770    0.00101095    0.00119200
  0.16241304    0.00000122    0.00003406    0.00017360    0.00041973    0.00071592    0.00098526    0.00116194
  0.16335836    0.00000104    0.00003100    0.00016370    0.00040356    0.00069528    0.00096031    0.00113228
  0.16430917    0.00000089    0.00002835    0.00015481    0.00038865    0.00067573    0.00093609    0.00110304
  0.16526552    0.00000078    0.00002645    0.00014899    0.00038043    0.00066689    0.00092600    0.00109005
  0.16622743    0.00000070    0.00002485    0.00014411    0.00037374    0.00065995    0.00091791    0.00107900
  0.16719495    0.00000062    0.00002345    0.00013974    0.00036759    0.00065324    0.00090952    0.00106719
  0.16816809    0.00000056    0.00002224    0.00013584    0.00036197    0.00064675    0.00090082    0.00105464
  0.16914690    0.00000051    0.00002119    0.00013239    0.00035686    0.00064046    0.00089182    0.00104137
  0.17013141    0.00000047    0.00002029    0.00012936    0.00035223    0.00063437    0.00088252    0.00102741
  0.17112164    0.00000044    0.00001952    0.00012672    0.00034807    0.00062847    0.00087292    0.00101277
  0.17211764    0.00000041    0.00001888    0.00012446    0.00034436    0.00062275    0.00086304    0.00099750
  0.17311944    0.00000039    0.00001834    0.00012255    0.00034108    0.00061720    0.00085288    0.00098163
  0.17412707    0.00000037    0.00001791    0.00012098    0.00033822    0.00061181    0.00084244    0.00096519
  0.17514056    0.00000036    0.00001757    0.00011974    0.00033576    0.00060657    0.00083174    0.00094821
  0.17615995    0.00000035    0.00001732    0.00011880    0.00033369    0.00060146    0.00082078    0.00093074
  0.17718527    0.00000034    0.00001715    0.00011817    0.00033199    0.00059649    0.00080956    0.00091280
  0.17821657    0.00000034    0.00001707    0.00011783    0.00033066    0.00059163    0.00079810    0.00089444
  0.17925386    0.00000033    0.00001707    0.00011778    0.00032967    0.00058687    0.00078640    0.00087569
  0.18029719    0.00000034    0.00001715    0.00011801    0.00032902    0.00058220    0.00077448    0.00085660
  0.18134660    0.00000034    0.00001730    0.00011852    0.00032870    0.00057761    0.00076233    0.00083719
  0.18240211    0.00000035    0.00001754    0.00011930    0.00032868    0.00057309    0.00074997    0.00081752
  0.18346377    0.00000036    0.00001786    0.00012035    0.00032896    0.00056861    0.00073740    0.00079761
  0.18453160    0.00000038    0.00001826    0.00012168    0.00032953    0.00056417    0.00072464    0.00077751
  0.18560566    0.00000039    0.00001875    0.00012328    0.00033037    0.00055974    0.00071169    0.00075725
  0.18668596    0.00000042    0.00001933    0.00012516    0.00033147    0.00055532    0.00069855    0.00073687
  0.18777255    0.00000045    0.00002001    0.00012731    0.00033281    0.00055088    0.00068525    0.00071639
  0.18886546    0.00000048    0.00002079    0.00012974    0.00033439    0.00054642    0.00067177    0.00069587
  0.18996474    0.00000052    0.00002168    0.00013246    0.00033617    0.00054190    0.00065814    0.00067533
  0.19107041    0.00000056    0.00002269    0.00013546    0.00033816    0.00053733    0.00064436    0.00065479
  0.19218252    0.00000062    0.00002383    0.00013875    0.00034032    0.00053266    0.00063044    0.00063430
  0.19330111    0.00000068    0.00002511    0.00014233    0.00034264    0.00052790    0.00061638    0.00061389
  0.19442620    0.00000076    0.00002654    0.00014620    0.00034510    0.00052301    0.00060220    0.00059357
  0.19555784    0.00000085    0.00002813    0.00015038    0.00034768    0.00051798    0.00058790    0.00057338
  0.19669607    0.00000095    0.00002990    0.00015485    0.00035035    0.00051279    0.00057350    0.00055334
  0.19784092    0.00000107    0.00003186    0.00015963    0.00035309    0.00050743    0.00055899    0.00053349
  0.19899244    0.00000122    0.00003403    0.00016470    0.00035586    0.00050186    0.00054439    0.00051383
