0.66541,0.1361
0.66928,0.13793
0.67318,0.13975
0.6771,0.14157
0.68104,0.14339
0.685,0.1452
0.68899,0.147
0.693,0.1488
0.69703,0.15059
0.70109,0.15238
0.70517,0.15416
0.70927,0.15594
0.7134,0.15772
0.71756,0.15949
0.72173,0.16125
0.72593,0.16302
0.73016,0.16478
0.73441,0.16653
0.73868,0.16828
0.74298,0.17003
0.74731,0.17178
0.75166,0.17353
0.75603,0.17527
0.76043,0.17701
0.76486,0.17874
0.76931,0.18048
0.77379,0.18221
0.77829,0.18394
0.78282,0.18567
0.78738,0.18739
0.79196,0.18912
0.79657,0.19084
0.80121,0.19256
0.80587,0.19428
0.81056,0.19599
0.81528,0.19771
0.82002,0.19943
0.8248,0.20114
0.8296,0.20285
0.83442,0.20456
0.83928,0.20627
0.84417,0.20798
0.84908,0.20969
0.85402,0.2114
0.85899,0.21311
0.86399,0.21481
0.86902,0.21652
0.87408,0.21822
0.87917,0.21993
0.88428,0.22163
0.88943,0.22334
0.89461,0.22504
0.89981,0.22674
0.90505,0.22845
0.91032,0.23015
0.91562,0.23185
0.92095,0.23356
0.92631,0.23526
0.9317,0.23696
0.93712,0.23866
0.94258,0.24037
0.94806,0.24207
0.95358,0.24377
0.95913,0.24548
0.96471,0.24718
0.97033,0.24889
0.97598,0.25059
0.98166,0.2523
0.98737,0.254
0.99312,0.25571
0.9989,0.25741
1.0047,0.25912
1.0106,0.26083
1.0164,0.26254
1.0224,0.26425
1.0283,0.26596
1.0343,0.26767
1.0403,0.26938
1.0464,0.27109
1.0525,0.2728
1.0586,0.27452
1.0647,0.27623
1.0709,0.27795
1.0772,0.27967
1.0834,0.28138
1.0898,0.2831
1.0961,0.28482
1.1025,0.28654
1.1089,0.28826
1.1153,0.28999
1.1218,0.29171
1.1284,0.29344
1.1349,0.29516
1.1415,0.29689
1.1482,0.29862
1.1549,0.30035
1.1616,0.30208
1.1684,0.30382
1.1752,0.30555
1.182,0.30729
1.1889,0.30902
1.1958,0.31076
1.2028,0.3125
1.2098,0.31424
1.2168,0.31599
1.2239,0.31773
1.231,0.31948
1.2382,0.32122
1.2454,0.32297
1.2526,0.32472
1.2599,0.32648
1.2672,0.32823
1.2746,0.32999
1.282,0.33175
1.2895,0.3335
1.297,0.33527
1.3046,0.33703
1.3121,0.33879
1.3198,0.34056
1.3275,0.34233
1.3352,0.3441
1.343,0.34587
1.3508,0.34764
1.3586,0.34942
1.3665,0.3512
1.3745,0.35298
1.3825,0.35476
1.3905,0.35654
1.3986,0.35833
1.4068,0.36011
1.415,0.3619
1.4232,0.36369
1.4315,0.36549
1.4398,0.36728
1.4482,0.36908
1.4566,0.37088
1.4651,0.37268
1.4736,0.37449
1.4822,0.37629
1.4908,0.3781
1.4995,0.37991
1.5082,0.38172
1.517,0.38354
1.5259,0.38536
1.5347,0.38718
1.5437,0.389
1.5527,0.39082
1.5617,0.39265
1.5708,0.39448
1.5799,0.39631
1.5891,0.39814
1.5984,0.39998
1.6077,0.40182
1.617,0.40366
1.6264,0.4055
1.6359,0.40734
1.6454,0.40919
1.655,0.41104
1.6646,0.41289
1.6743,0.41475
1.6841,0.41661
1.6939,0.41847
1.7037,0.42033
1.7137,0.4222
1.7236,0.42406
1.7337,0.42593
1.7437,0.42781
1.7539,0.42968
1.7641,0.43156
1.7744,0.43344
1.7847,0.43532
1.7951,0.43721
1.8055,0.4391
1.816,0.44099
1.8266,0.44288
1.8372,0.44478
1.8479,0.44668
1.8587,0.44858
1.8695,0.45049
1.8804,0.4524
1.8913,0.45431
1.9024,0.45622
1.9134,0.45814
1.9246,0.46006
1.9358,0.46198
1.947,0.4639
1.9584,0.46583
1.9698,0.46776
1.9812,0.46969
1.9928,0.47163
2.0044,0.47357
2.016,0.47551
2.0278,0.47746
2.0396,0.4794
2.0514,0.48136
2.0634,0.48331
2.0754,0.48527
2.0875,0.48723
2.0996,0.48919
2.1118,0.49116
2.1241,0.49312
2.1365,0.4951
2.1489,0.49707
2.1614,0.49905
2.174,0.50103
2.1867,0.50302
2.1994,0.505
2.2122,0.50699
2.2251,0.50899
2.238,0.51099
2.251,0.51299
2.2641,0.51499
2.2773,0.517
2.2906,0.51901
2.3039,0.52102
2.3173,0.52304
2.3308,0.52506
2.3444,0.52708
2.358,0.5291
2.3717,0.53113
2.3855,0.53317
2.3994,0.5352
2.4134,0.53724
2.4274,0.53929
2.4416,0.54133
2.4558,0.54338
2.4701,0.54543
2.4845,0.54749
2.4989,0.54955
2.5135,0.55161
2.5281,0.55368
2.5428,0.55575
2.5576,0.55783
2.5725,0.5599
2.5875,0.56198
2.6025,0.56407
2.6177,0.56615
2.6329,0.56825
2.6482,0.57034
2.6636,0.57244
2.6792,0.57454
2.6947,0.57665
2.7104,0.57876
2.7262,0.58087
2.7421,0.58298
2.758,0.5851
2.7741,0.58723
2.7902,0.58936
2.8065,0.59149
2.8228,0.59362
2.8392,0.59576
2.8558,0.5979
2.8724,0.60005
2.8891,0.6022
2.9059,0.60435
2.9228,0.60651
2.9398,0.60867
2.957,0.61083
2.9742,0.613
2.9915,0.61517
3.0089,0.61735
3.0264,0.61953
3.044,0.62171
3.0617,0.6239
3.0796,0.62609
3.0975,0.62829
3.1155,0.63049
3.1336,0.63269
3.1519,0.6349
3.1702,0.63711
3.1887,0.63933
3.2072,0.64155
3.2259,0.64377
3.2447,0.646
3.2636,0.64823
3.2826,0.65046
3.3017,0.6527
3.3209,0.65495
3.3402,0.65719
3.3597,0.65944
3.3792,0.6617
3.3989,0.66396
